Measure,sex,Age,Year,No. of deaths,Upper bound,Lower Bound
Deaths,Male,75-79,2001,3347.7174237345307,4465.920184111224,2356.392159061204
Deaths,Female,75-79,2001,4488.600361429634,6140.80297208741,3277.192441184437
Deaths,Male,15-49,2001,2559.916573653557,3679.812225737829,1724.4276834653035
Deaths,Female,15-49,2001,1468.563623715958,2398.3543680895427,906.807268315318
Deaths,Male,50-69,2001,10685.965710881756,15322.160832831298,7083.425609555854
Deaths,Female,50-69,2001,6491.564386305371,9972.608557744456,4282.003741716095
Deaths,Male,80-84,2001,2890.3674553942183,3766.515079161125,2106.842719333404
Deaths,Female,80-84,2001,4157.474290067468,5468.654577432522,3093.157043876588
Deaths,Male,85-89,2001,1601.804601763322,2005.5887266603568,1230.877496620511
Deaths,Female,85-89,2001,2865.7967289549583,3642.408257559422,2192.4543535669086
Deaths,Male,90-94,2001,607.2572062355912,766.6983621782501,464.29801125701147
Deaths,Female,90-94,2001,1189.634095451817,1501.6503983448242,877.8572660211047
Deaths,Male,50-74,2001,15124.106789798254,21202.56923577541,10114.250443478992
Deaths,Female,50-74,2001,9548.742080615815,14296.762590271712,6552.339065330861
Deaths,Male,10-24,2001,152.76953689843003,224.86961390436824,93.8975520984417
Deaths,Female,10-24,2001,155.7140872824072,264.3919817864896,91.82912939413654
Deaths,Male,10-19,2001,59.401362270553065,93.35747808585047,35.15700485601352
Deaths,Female,10-19,2001,69.19979528767142,119.15884836039844,39.925335680795904
Deaths,Male,10 - 54,2001,4220.364133747708,6006.896271289232,2815.8711440769525
Deaths,Female,10 - 54,2001,2378.583295432701,3853.496408338109,1472.2221955104098
Deaths,Male,15-39,2001,807.2877262336874,1140.5335758904114,551.7240626846911
Deaths,Female,15-39,2001,540.1142370913839,900.6791401064092,323.6968824670175
Deaths,Male,65-74,2001,8358.880429070956,11607.443643325723,5745.204366857272
Deaths,Female,65-74,2001,5540.341156551904,8007.226998080647,3913.718468563864
Deaths,Male,95+,2001,190.5371315214848,245.08818778486045,139.34472025382647
Deaths,Female,95+,2001,425.1518530923008,558.1659428766837,311.68243202364056
Deaths,Male,75-84,2001,6238.084879128752,8131.105714023579,4464.442334881021
Deaths,Female,75-84,2001,8646.074651497109,11643.504038673882,6401.334634043042
Deaths,Male,20-54,2001,4160.96277147715,5923.509479890032,2778.6549448198152
Deaths,Female,20-54,2001,2309.3835001450298,3747.016191698636,1424.169597823551
Deaths,Male,15-19,2003,62.77642371446532,93.4779338609106,35.81230748046066
Deaths,Female,15-19,2003,68.42167244427797,106.41099706350798,39.25748978592944
Deaths,Male,20-24,2003,97.81804075232928,144.78045875060724,60.264259201006666
Deaths,Female,20-24,2003,86.83351466789004,140.98173228109,47.53608637142603
Deaths,Male,25-29,2003,80.6441607604184,112.33883246602367,54.20919675021254
Deaths,Female,25-29,2003,44.853918410187454,75.33609269992643,23.001756892850977
Deaths,Male,30-34,2003,197.29082768832012,266.0336757231796,133.75840168275104
Deaths,Female,30-34,2003,158.332575545942,253.90951080438631,85.94777446288467
Deaths,Male,35-39,2003,402.5399460514662,555.6950623427492,276.94836097741523
Deaths,Female,35-39,2003,189.18154506313783,297.8367281455777,107.01955522154604
Deaths,Male,40-44,2003,714.5521956745436,1005.3289271324572,469.920551976988
Deaths,Female,40-44,2003,333.52870509459416,506.8391729393117,192.6733742568865
Deaths,Male,45-49,2003,1057.5105628182955,1509.936161749658,695.7340928055547
Deaths,Female,45-49,2003,622.1025506944244,953.9723962376172,379.4413491166548
Deaths,Male,50-54,2003,1652.491872656275,2362.0230586396638,1062.3170428742085
Deaths,Female,50-54,2003,967.097396387465,1425.1987230140471,579.735033736178
Deaths,Male,55-59,2003,2133.797813605048,3031.8265764949983,1363.7571885526493
Deaths,Female,55-59,2003,1078.1724806104016,1610.7049584759102,661.3856427702365
Deaths,Male,60-64,2003,2872.1636762923654,3966.4077014964346,1906.6934335479368
Deaths,Female,60-64,2003,2050.1690286921603,3020.9908889854555,1329.5414758145027
Deaths,Male,65-69,2003,3860.960224644961,5290.458716761289,2588.8906413542795
Deaths,Female,65-69,2003,2500.561088547936,3523.4700605544995,1706.866139032187
Deaths,Male,70-74,2003,4397.306210171899,5993.700462926842,3081.139450245696
Deaths,Female,70-74,2003,3021.754746132672,4109.831828080061,2136.529871036964
Deaths,Male,75-79,2003,3660.485140952813,4851.760319225021,2642.868456663645
Deaths,Female,75-79,2003,4134.138981599672,5369.337913593021,3066.0016073800143
Deaths,Male,15-49,2003,2613.1321574598383,3596.9462796449266,1755.0467093454404
Deaths,Female,15-49,2003,1503.2544819204554,2299.7960286576244,901.05015893402
Deaths,Male,50-69,2003,10519.413587198656,14624.945078614468,6955.592660196569
Deaths,Female,50-69,2003,6595.99999423796,9589.941636056265,4267.535677162331
